full_name,brand_name,selling_price,new_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats
Ambassador Avigo 1800 ISZ MPFI AC,Ambassador,2.25 Lakh*,null,2010,Dealer,"86,000 kms",First Owner,Petrol,Manual,Mileage12.2 kmpl,Engine1817 CC,Max Power75 bhp,Seats5
Maruti Swift VDI BSIV,Maruti,3 Lakh*,null,2011,Individual,"1,20,000 kms",First Owner,Diesel,Manual,Mileage17.8 kmpl,Engine1248 CC,null,Seats5
Maruti Baleno Zeta Automatic,Maruti,5.9 Lakh*,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,2016,Dealer,"52,427 kms",First Owner,Petrol,Automatic,Mileage21.4 kmpl,Engine1197 CC,Max Power83.1 bhp,Seats5
Mahindra Bolero B6,Mahindra,8.5 Lakh*,New Car (On-Road Price) : Rs.8.93-10.47 Lakh*,2020,Individual,"40,000 kms",First Owner,Diesel,Manual,Mileage21.0 kmpl,Engine1498 CC,Max Power74.96 bhp,Seats7
Tata Nano Cx BSIV,Tata,1.08 Lakh*,null,2011,Individual,"70,000 kms",First Owner,Petrol,Manual,Mileage26.0 kmpl,Engine624 CC,Max Power35 bhp,Seats4
Mahindra KUV100 NXT G80 K8 5Str BSIV,Mahindra,5.5 Lakh*,New Car (On-Road Price) : Rs.6.88-8.75 Lakh*,2018,Individual,"17,000 kms",First Owner,Petrol,Manual,Mileage18.15 kmpl,Engine1198 CC,Max Power82 bhp,Seats5
Toyota Etios G,Toyota,3.25 Lakh*,null,2012,Dealer,"54,325 kms",First Owner,Petrol,Manual,Mileage17.6 kmpl,Engine1496 CC,Max Power88.73 bhp,Seats5
Maruti Baleno Vxi - BSIII,Maruti,6.25 Lakh*,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,2016,Dealer,"22,000 kms",First Owner,Petrol,Manual,Mileage15.4 kmpl,Engine1590 CC,Max Power94 bhp,Seats5
Maruti Swift Dzire ZXI,Maruti,6 Lakh*,New Car (On-Road Price) : Rs.6.98-10.40 Lakh*,2016,Individual,"54,000 kms",First Owner,Petrol,Manual,Mileage20.85 kmpl,Engine1197 CC,Max Power83.14 bhp,Seats5
Maruti Wagon R LXI Optional,Maruti,4.45 Lakh*,New Car (On-Road Price) : Rs.5.11-6.79 Lakh*,2019,Individual,"10,000 kms",First Owner,Petrol,Manual,Mileage20.51 kmpl,Engine998 CC,Max Power67.04 bhp,Seats5
Maruti Ignis 1.2 Delta BSIV,Maruti,5.3 Lakh*,New Car (On-Road Price) : Rs.5.77-8.56 Lakh*,2019,Individual,"20,000 kms",First Owner,Petrol,Manual,Mileage20.89 kmpl,Engine1197 CC,Max Power81.80 bhp,Seats5
Toyota Corolla Altis GL,Toyota,3.85 Lakh*,null,2011,Dealer,"61,000 kms",First Owner,Petrol,Manual,Mileage14.53 kmpl,Engine1798 CC,Max Power138.1 bhp,Seats5
Maruti Wagon R LXI CNG,Maruti,4.1 Lakh*,New Car (On-Road Price) : Rs.5.97-6.04 Lakh*,2018,Trustmark Dealer,"53,237 kms",First Owner,CNG,Manual,Mileage26.6 km/kg,Engine998 CC,Max Power58.16 bhp,Seats5
Datsun RediGO Gold 1.0,Datsun,3.5 Lakh*,New Car (On-Road Price) : Rs.3.29-5.50 Lakh*,2018,Individual,"27,263 kms",First Owner,Petrol,Manual,Mileage22.5 kmpl,Engine999 CC,Max Power68 bhp,Seats5
Tata Indigo eLX BS IV,Tata,2.65 Lakh*,null,2014,Individual,"90,000 kms",First Owner,Diesel,Manual,Mileage25.0 kmpl,Engine1396 CC,Max Power69.01 bhp,Seats5
Hyundai Verna 1.6 CRDI,Hyundai,5.2 Lakh*,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,2014,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage22.32 kmpl,Engine1582 CC,Max Power126.3 bhp,Seats5
Hyundai i20 Asta Option 1.4 CRDi,Hyundai,7.5 Lakh*,New Car (On-Road Price) : Rs.9.59-12.83 Lakh*,2016,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage22.54 kmpl,Engine1396 CC,Max Power88.73 bhp,Seats5
Maruti Swift Dzire VDI,Maruti,5.6 Lakh*,null,2017,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage26.59 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
Tata Vista TDI LS,Tata,2 Lakh*,null,2014,Individual,"1,90,000 kms",First Owner,Diesel,Manual,Mileage19.1 kmpl,Engine1405 CC,Max Power70 bhp,Seats5
Hyundai Xcent 1.2 CRDi SX,Hyundai,6 Lakh*,null,2017,Individual,"40,000 kms",First Owner,Diesel,Manual,Mileage25.4 kmpl,Engine1186 CC,Max Power73.97 bhp,Seats5
Hyundai i20 1.2 Spotz,Hyundai,6.55 Lakh*,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2019,Dealer,"39,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
Hyundai Santro Xing XE,Hyundai,1.25 Lakh*,null,2007,Dealer,"56,000 kms",First Owner,Petrol,Manual,Mileage17.8 kmpl,Engine1086 CC,Max Power63 bhp,Seats5
Toyota Corolla Altis 1.8 VL AT,Toyota,4.25 Lakh*,null,2009,Dealer,"58,000 kms",First Owner,Petrol,Automatic,Mileage14.53 kmpl,Engine1794 CC,Max Power138.1 bhp,Seats5
Maruti Omni E MPI STD BS IV,Maruti,2.2 Lakh*,null,2017,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage16.8 kmpl,Engine796 CC,Max Power34.2 bhp,Seats8
Hyundai i20 1.2 Spotz,Hyundai,5.5 Lakh*,New Car (On-Road Price) : Rs.7.83-13.12 Lakh*,2018,Individual,"34,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
Mahindra Scorpio 1.99 S10,Mahindra,11.5 Lakh*,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,2017,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine1997 CC,Max Power120 bhp,Seats7
Volkswagen Vento Diesel Highline,Volkswagen,5 Lakh*,null,2012,Individual,"77,400 kms",First Owner,Diesel,Manual,Mileage20.54 kmpl,Engine1598 CC,Max Power103.6 bhp,Seats5
Mahindra Marazzo M2 BSIV,Mahindra,9.9 Lakh*,New Car (On-Road Price) : Rs.13.89-16.43 Lakh*,2019,Individual,"36,000 kms",First Owner,Diesel,Manual,Mileage17.3 kmpl,Engine1497 CC,Max Power121 bhp,Seats7
Hyundai Verna SX Opt Diesel,Hyundai,5.51 Lakh*,New Car (On-Road Price) : Rs.12.74-18.17 Lakh*,2013,Dealer,"47,876 kms",First Owner,Diesel,Manual,Mileage25.0 kmpl,Engine1493 CC,Max Power113.42 bhp,Seats5
Mahindra XUV500 W11 Option AT BSIV,Mahindra,16.5 Lakh*,New Car (On-Road Price) : Rs.16.54-23.28 Lakh*,2018,Individual,"21,500 kms",First Owner,Diesel,Automatic,Mileage15.1 kmpl,Engine2179 CC,Max Power152.87 bhp,Seats7
Hyundai Grand i10 CRDi Magna,Hyundai,3.5 Lakh*,null,2015,Dealer,"75,000 kms",First Owner,Diesel,Manual,Mileage24.0 kmpl,Engine1120 CC,Max Power70 bhp,Seats5
Ford Aspire 1.2 Ti-VCT Titanium,Ford,5 Lakh*,New Car (On-Road Price) : Rs.6.85-8.70 Lakh*,2017,Dealer,"58,000 kms",First Owner,Petrol,Manual,Mileage18.16 kmpl,Engine1196 CC,Max Power86.8 bhp,Seats5
Maruti Swift Dzire VXI 1.2,Maruti,5.75 Lakh*,New Car (On-Road Price) : Rs.6.85-10.26 Lakh*,2018,Individual,"30,000 kms",First Owner,Petrol,Manual,Mileage21.21 kmpl,Engine1197 CC,Max Power81.80 bhp,Seats5
Hyundai Grand i10 1.2 CRDi Asta,Hyundai,5.45 Lakh*,null,2018,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage24.0 kmpl,Engine1186 CC,Max Power73.97 bhp,Seats5
Ford Figo 1.2P Titanium MT,Ford,5.25 Lakh*,New Car (On-Road Price) : Rs.6.02-7.91 Lakh*,2017,Trustmark Dealer,"19,093 kms",First Owner,Petrol,Manual,Mileage18.16 kmpl,Engine1196 CC,Max Power86.8 bhp,Seats5
Honda Amaze E i-Vtech,Honda,4 Lakh*,New Car (On-Road Price) : Rs.7.02-9.85 Lakh*,2014,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage18.0 kmpl,Engine1198 CC,Max Power86.7 bhp,Seats5
Maruti Wagon R LXI BSIII,Maruti,1.55 Lakh*,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,2006,Dealer,"37,000 kms",First Owner,Petrol,Manual,Mileage14.0 kmpl,Engine1061 CC,Max Power64 bhp,Seats5
Mahindra Supro VX 8 Str,Mahindra,5.4 Lakh*,null,2019,Individual,"3,888 kms",First Owner,Diesel,Manual,Mileage23.5 kmpl,Engine909 CC,Max Power45 bhp,Seats8
Maruti Swift Dzire VDI,Maruti,5.45 Lakh*,null,2016,Dealer,"47,000 kms",First Owner,Diesel,Manual,Mileage26.59 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
Honda City V MT,Honda,5.45 Lakh*,New Car (On-Road Price) : Rs.13.13-17.45 Lakh*,2013,Individual,"70,000 kms",First Owner,Petrol,Manual,Mileage16.8 kmpl,Engine1497 CC,Max Power116.3 bhp,Seats5
Renault KWID RXL,Renault,2.4 Lakh*,New Car (On-Road Price) : Rs.3.62-6.09 Lakh*,2016,Individual,"25,000 kms",First Owner,Petrol,Manual,Mileage25.17 kmpl,Engine799 CC,Max Power53.3 bhp,Seats5
Maruti Vitara Brezza LDi Option,Maruti,7.25 Lakh*,null,2018,Dealer,"26,000 kms",First Owner,Diesel,Manual,Mileage24.3 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats5
Ford Aspire 1.2 Ti-VCT Titanium Opt,Ford,4.8 Lakh*,New Car (On-Road Price) : Rs.6.85-8.45 Lakh*,2017,Individual,"30,000 kms",First Owner,Petrol,Manual,Mileage18.16 kmpl,Engine1196 CC,Max Power86.8 bhp,Seats5
Hyundai i20 Magna Optional 1.2,Hyundai,3.75 Lakh*,New Car (On-Road Price) : Rs.7.83-13.12 Lakh*,2013,Individual,"15,000 kms",First Owner,Petrol,Manual,Mileage18.5 kmpl,Engine1197 CC,Max Power82.9 bhp,Seats5
Maruti Swift VDi BSIII W/ ABS,Maruti,2.25 Lakh*,null,2011,Individual,"1,60,000 kms",First Owner,Diesel,Manual,Mileage17.8 kmpl,Engine1248 CC,Max Power75 bhp,Seats5
Tata Tiago 1.2 Revotron XZ,Tata,4 Lakh*,New Car (On-Road Price) : Rs.5.63-7.89 Lakh*,2017,Individual,"32,100 kms",First Owner,Petrol,Manual,Mileage23.84 kmpl,Engine1199 CC,Max Power84 bhp,Seats5
Hyundai i20 Magna Optional 1.2,Hyundai,5.5 Lakh*,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2016,Dealer,"22,000 kms",First Owner,Petrol,Manual,Mileage18.5 kmpl,Engine1197 CC,Max Power82.9 bhp,Seats5
Mahindra Scorpio S10 7 Seater,Mahindra,10.5 Lakh*,null,2016,Dealer,"44,000 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine2179 CC,Max Power120 bhp,Seats7
Volkswagen Polo 1.2 MPI Trendline,Volkswagen,4.5 Lakh*,New Car (On-Road Price) : Rs.6.94-11.19 Lakh*,2016,Dealer,"78,000 kms",First Owner,Petrol,Manual,Mileage18.78 kmpl,Engine1198 CC,Max Power74 bhp,Seats5
Mercedes-Benz C-Class C 200 CGI Elegance,Mercedes-Benz,7.75 Lakh*,New Car (On-Road Price) : Rs.47.62-1.60 Cr*,2012,Dealer,"74,352 kms",First Owner,Petrol,Automatic,Mileage11.74 kmpl,Engine1796 CC,Max Power186 bhp,Seats5
Maruti Wagon R VXI,Maruti,3.5 Lakh*,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,2014,Individual,"37,000 kms",First Owner,Petrol,Manual,Mileage20.51 kmpl,Engine998 CC,Max Power67.04 bhp,Seats5
Honda City i DTEC VX Option,Honda,5.5 Lakh*,New Car (On-Road Price) : Rs.14.79-17.55 Lakh*,2014,Dealer,"69,000 kms",First Owner,Diesel,Manual,Mileage25.1 kmpl,Engine1498 CC,Max Power98.6 bhp,Seats5
Kia Seltos HTK Plus G,Kia,10.8 Lakh*,New Car (On-Road Price) : Rs.11.19-19.20 Lakh*,2019,Individual,"12,120 kms",First Owner,Petrol,Manual,Mileage16.8 kmpl,Engine1497 CC,Max Power113.4 bhp,Seats5
Maruti Baleno Delta,Maruti,5.75 Lakh*,null,2016,Dealer,"52,000 kms",First Owner,Petrol,Manual,Mileage21.01 kmpl,Engine1197 CC,Max Power81.80 bhp,Seats5
Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,9.5 Lakh*,null,2016,Individual,"1,20,000 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100.6 bhp,Seats8
Maruti Alto 800 LXI,Maruti,2.3 Lakh*,New Car (On-Road Price) : Rs.3.47-4.66 Lakh*,2013,Individual,"55,000 kms",First Owner,Petrol,Manual,Mileage22.74 kmpl,Engine796 CC,Max Power47.3 bhp,Seats5
Hyundai i20 1.4 CRDi Magna,Hyundai,2.7 Lakh*,New Car (On-Road Price) : Rs.8.60-11.28 Lakh*,2011,Individual,"1,60,000 kms",First Owner,Diesel,Manual,Mileage21.9 kmpl,Engine1396 CC,Max Power90 bhp,Seats5
Chevrolet Beat Diesel LS,Chevrolet,1.65 Lakh*,null,2012,Dealer,"42,000 kms",First Owner,Diesel,Manual,Mileage25.44 kmpl,Engine936 CC,Max Power56.3 bhp,Seats5
Ford Figo Petrol EXI,Ford,1.3 Lakh*,New Car (On-Road Price) : Rs.6.13-7.91 Lakh*,2011,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage15.6 kmpl,Engine1196 CC,Max Power70 bhp,Seats5
Maruti Swift Dzire VXI,Maruti,3.7 Lakh*,New Car (On-Road Price) : Rs.6.53-9.95 Lakh*,2012,Dealer,"46,000 kms",First Owner,Petrol,Manual,Mileage19.1 kmpl,Engine1197 CC,Max Power85.8 bhp,Seats5
Maruti Baleno Delta 1.2,Maruti,5.7 Lakh*,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,2017,Dealer,"25,000 kms",First Owner,Petrol,Manual,Mileage21.4 kmpl,Engine1197 CC,Max Power83.1 bhp,Seats5
Toyota Etios GD,Toyota,3.9 Lakh*,null,2015,Individual,"2,40,000 kms",First Owner,Diesel,Manual,Mileage23.59 kmpl,Engine1364 CC,Max Power67.05 bhp,Seats5
Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,3.65 Lakh*,null,2013,Dealer,"90,000 kms",First Owner,Diesel,Manual,Mileage22.07 kmpl,Engine1199 CC,Max Power73.9 bhp,Seats5
Hyundai i20 Magna,Hyundai,2.8 Lakh*,null,2012,Dealer,"49,566 kms",First Owner,Petrol,Manual,Mileage18.5 kmpl,Engine1197 CC,Max Power82.85 bhp,Seats5
Hyundai Verna CRDi 1.6 AT SX Option,Hyundai,12.5 Lakh*,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,2018,Dealer,"14,000 kms",First Owner,Diesel,Automatic,Mileage22.0 kmpl,Engine1582 CC,Max Power126.2 bhp,Seats5
Hyundai i20 2015-2017 Sportz 1.2,Hyundai,5.9 Lakh*,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2016,Dealer,"11,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
