full_name,brand_name,year,seller_type,owner_type,fuel_type,transmission_type,original_price,SP,mileage_cars(kmpl),engine_cc,maxx_power,Kmeter_driven,seat
Mahindra KUV100 NXT G80 K8 5Str BSIV,Mahindra,2018,Individual,First Owner,Petrol,Manual,8.75,5.5,18.15,1198,82,17000,5
Maruti Baleno Vxi - BSIII,Maruti,2016,Dealer,First Owner,Petrol,Manual,10.54,6.25,15.4,1590,94,22000,5
Maruti Swift Dzire ZXI,Maruti,2016,Individual,First Owner,Petrol,Manual,10.4,6,20.85,1197,83.14,54000,5
Maruti Wagon R LXI Optional,Maruti,2019,Individual,First Owner,Petrol,Manual,6.79,4.45,20.51,998,67.04,10000,5
Maruti Ignis 1.2 Delta BSIV,Maruti,2019,Individual,First Owner,Petrol,Manual,8.56,5.3,20.89,1197,81.8,20000,5
Maruti Wagon R LXI CNG,Maruti,2018,Trustmark Dealer,First Owner,CNG,Manual,6.04,4.1,26.6,998,58.16,53237,5
Datsun RediGO Gold 1.0,Datsun,2018,Individual,First Owner,Petrol,Manual,5.5,3.5,22.5,999,68,27263,5
Hyundai Verna 1.6 CRDI,Hyundai,2014,Individual,First Owner,Diesel,Manual,18.09,5.2,22.32,1582,126.3,110000,5
Hyundai i20 Asta Option 1.4 CRDi,Hyundai,2016,Individual,First Owner,Diesel,Manual,12.83,7.5,22.54,1396,88.73,70000,5
Hyundai i20 1.2 Spotz,Hyundai,2019,Dealer,First Owner,Petrol,Manual,13.41,6.55,18.6,1197,81.83,39000,5
Hyundai i20 1.2 Spotz,Hyundai,2018,Individual,First Owner,Petrol,Manual,13.12,5.5,18.6,1197,81.83,34000,5
Mahindra Scorpio 1.99 S10,Mahindra,2017,Individual,First Owner,Diesel,Manual,19.92,11.5,15.4,1997,120,50000,7
Mahindra Marazzo M2 BSIV,Mahindra,2019,Individual,First Owner,Diesel,Manual,16.43,9.9,17.3,1497,121,36000,7
Hyundai Verna SX Opt Diesel,Hyundai,2013,Dealer,First Owner,Diesel,Manual,18.17,5.51,25,1493,113.42,47876,5
Mahindra XUV500 W11 Option AT BSIV,Mahindra,2018,Individual,First Owner,Diesel,Automatic,23.28,16.5,15.1,2179,152.87,21500,7
Ford Aspire 1.2 Ti-VCT Titanium,Ford,2017,Dealer,First Owner,Petrol,Manual,8.7,5,18.16,1196,86.8,58000,5
Maruti Swift Dzire VXI 1.2,Maruti,2018,Individual,First Owner,Petrol,Manual,10.26,5.75,21.21,1197,81.8,30000,5
Ford Figo 1.2P Titanium MT,Ford,2017,Trustmark Dealer,First Owner,Petrol,Manual,7.91,5.25,18.16,1196,86.8,19093,5
Honda Amaze E i-Vtech,Honda,2014,Individual,First Owner,Petrol,Manual,9.85,4,18,1198,86.7,50000,5
Maruti Wagon R LXI BSIII,Maruti,2006,Dealer,First Owner,Petrol,Manual,6.94,1.55,14,1061,64,37000,5
Honda City V MT,Honda,2013,Individual,First Owner,Petrol,Manual,17.45,5.45,16.8,1497,116.3,70000,5
Renault KWID RXL,Renault,2016,Individual,First Owner,Petrol,Manual,6.09,2.4,25.17,799,53.3,25000,5
Ford Aspire 1.2 Ti-VCT Titanium Opt,Ford,2017,Individual,First Owner,Petrol,Manual,8.45,4.8,18.16,1196,86.8,30000,5
Hyundai i20 Magna Optional 1.2,Hyundai,2013,Individual,First Owner,Petrol,Manual,13.12,3.75,18.5,1197,82.9,15000,5
Tata Tiago 1.2 Revotron XZ,Tata,2017,Individual,First Owner,Petrol,Manual,7.89,4,23.84,1199,84,32100,5
Hyundai i20 Magna Optional 1.2,Hyundai,2016,Dealer,First Owner,Petrol,Manual,13.41,5.5,18.5,1197,82.9,22000,5
Volkswagen Polo 1.2 MPI Trendline,Volkswagen,2016,Dealer,First Owner,Petrol,Manual,11.19,4.5,18.78,1198,74,78000,5
Mercedes-Benz C-Class C 200 CGI Elegance,Mercedes-Benz,2012,Dealer,First Owner,Petrol,Automatic,160,7.75,11.74,1796,186,74352,5
Maruti Wagon R VXI,Maruti,2014,Individual,First Owner,Petrol,Manual,6.94,3.5,20.51,998,67.04,37000,5
Honda City i DTEC VX Option,Honda,2014,Dealer,First Owner,Diesel,Manual,17.55,5.5,25.1,1498,98.6,69000,5
Kia Seltos HTK Plus G,Kia,2019,Individual,First Owner,Petrol,Manual,19.2,10.8,16.8,1497,113.4,12120,5
Maruti Alto 800 LXI,Maruti,2013,Individual,First Owner,Petrol,Manual,4.66,2.3,22.74,796,47.3,55000,5
Hyundai i20 1.4 CRDi Magna,Hyundai,2011,Individual,First Owner,Diesel,Manual,11.28,2.7,21.9,1396,90,160000,5
Ford Figo Petrol EXI,Ford,2011,Individual,First Owner,Petrol,Manual,7.91,1.3,15.6,1196,70,40000,5
Maruti Swift Dzire VXI,Maruti,2012,Dealer,First Owner,Petrol,Manual,9.95,3.7,19.1,1197,85.8,46000,5
Maruti Baleno Delta 1.2,Maruti,2017,Dealer,First Owner,Petrol,Manual,10.42,5.7,21.4,1197,83.1,25000,5
Hyundai Verna CRDi 1.6 AT SX Option,Hyundai,2018,Dealer,First Owner,Diesel,Automatic,18.29,12.5,22,1582,126.2,14000,5
Hyundai i20 2015-2017 Sportz 1.2,Hyundai,2016,Dealer,First Owner,Petrol,Manual,13.41,5.9,18.6,1197,81.83,11000,5
Maruti Celerio VXI AMT BSIV,Maruti,2018,Individual,First Owner,Petrol,Automatic,6.65,4.75,23.1,998,67.04,5000,5
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,Ford,2017,Dealer,First Owner,Diesel,Manual,13.79,6.85,23,1498,98.96,55000,5
Renault KWID 1.0 RXT Optional,Renault,2018,Individual,First Owner,Petrol,Manual,6.48,3.3,23.01,999,67,22000,5
Maruti Baleno Delta,Maruti,2018,Trustmark Dealer,First Owner,Petrol,Manual,10.42,6.5,21.01,1197,81.8,7671,5
Maruti Wagon R LXI,Maruti,2016,Individual,First Owner,Petrol,Manual,6.79,3.25,20.51,998,67.04,66000,5
Maruti Swift Dzire AMT VXI,Maruti,2018,Dealer,First Owner,Petrol,Automatic,10.04,6.4,21.21,1197,81.8,45156,5
Hyundai Venue SX Opt Turbo BSIV,Hyundai,2019,Individual,First Owner,Petrol,Manual,12.12,9.49,18.27,998,118.35,25000,5
Hyundai Verna 1.6 CRDi SX,Hyundai,2015,Individual,First Owner,Diesel,Manual,18.09,6.6,23.9,1582,126.2,120000,5
Maruti Swift VXi BSIV,Maruti,2014,Dealer,First Owner,Petrol,Manual,9.27,4.35,16.1,1197,85,28000,5
Hyundai i20 Sportz 1.4 CRDi,Hyundai,2013,Dealer,First Owner,Diesel,Manual,13.09,3.85,21.9,1396,88.76,55000,5
Hyundai Verna CRDi 1.6 AT SX Option,Hyundai,2019,Dealer,First Owner,Diesel,Automatic,18.29,12.5,22,1582,126.2,14000,5
Maruti Wagon R LX BS IV,Maruti,2009,Dealer,First Owner,Petrol,Manual,7.07,1.55,18.9,998,67.1,98780,5
Mahindra Scorpio S10 7 Seater,Mahindra,2016,Dealer,First Owner,Diesel,Manual,19.92,11.5,15.4,2179,120,46400,7
Datsun GO Plus T BSIV,Datsun,2015,Individual,First Owner,Petrol,Manual,7.88,3.5,19.44,1198,67,35000,7
Mahindra Scorpio 1.99 S6 Plus,Mahindra,2017,Dealer,First Owner,Diesel,Manual,19.92,11.25,15.4,1997,120,30000,7
Datsun GO Plus Anniversary Edition,Datsun,2018,Individual,First Owner,Petrol,Manual,8.09,4.8,20.62,1198,67,10000,7
Hyundai Creta 1.6 CRDi AT SX Plus,Hyundai,2017,Dealer,First Owner,Diesel,Automatic,19.75,11,17.01,1582,126.2,102000,5
Maruti Swift Dzire VXi,Maruti,2012,Dealer,First Owner,Petrol,Manual,10.04,3.4,17.5,1298,85.8,49948,5
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,Ford,2018,Individual,First Owner,Diesel,Manual,13.71,9.25,23,1498,98.96,55000,5
Hyundai Grand i10 Magna,Hyundai,2015,Dealer,First Owner,Petrol,Manual,6.57,4,18.9,1197,82,36000,5
Honda City i VTEC VX Option,Honda,2016,Dealer,First Owner,Petrol,Manual,16.8,7.25,17.8,1497,117.3,49625,5
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,Mahindra,2013,Individual,First Owner,Diesel,Manual,19.2,5.5,12.05,2179,120,95000,8
Ford Aspire 1.5 TDCi Titanium,Ford,2017,Dealer,First Owner,Diesel,Manual,10.08,5.85,25.83,1498,99,36000,5
Maruti Wagon R VXI,Maruti,2019,Individual,First Owner,Petrol,Manual,7.12,4.11,21.79,998,67.05,50000,5
Maruti Swift Dzire VXI,Maruti,2015,Individual,First Owner,Petrol,Manual,10.13,4.5,20.85,1197,83.14,26500,5
Honda CR-V 2.0L 2WD AT,Honda,2015,Dealer,First Owner,Petrol,Automatic,34.05,12.9,13.7,1997,153.86,80000,5
Hyundai Grand i10 Nios Asta,Hyundai,2019,Individual,First Owner,Petrol,Manual,8.91,7.1,20.7,1197,81.86,9000,5
Honda City V MT,Honda,2016,Dealer,First Owner,Petrol,Manual,16.8,7.7,16.8,1497,116.3,53000,5
Ford Endeavour 3.2 Titanium AT 4X4,Ford,2018,Individual,First Owner,Diesel,Automatic,42.73,29,10.91,3198,197,11387,7
Honda Amaze VX i-DTEC,Honda,2018,Individual,First Owner,Diesel,Manual,11.66,7.2,25.8,1498,98.6,50000,5
Datsun GO Plus T BSIV,Datsun,2015,Individual,First Owner,Petrol,Manual,7.88,4,19.44,1198,67,35000,7
Honda Jazz 1.2 V i VTEC,Honda,2018,Individual,First Owner,Petrol,Manual,10.99,6,18.7,1199,88.7,18000,5
Hyundai i20 Magna 1.2,Hyundai,2015,Individual,First Owner,Petrol,Manual,12.66,5,18.6,1197,81.83,30000,5
Hyundai Verna 1.6 CRDi SX,Hyundai,2015,Dealer,First Owner,Diesel,Manual,18.29,6.5,23.9,1582,126.2,55000,5
Maruti Swift AMT ZXI,Maruti,2018,Individual,First Owner,Petrol,Automatic,9.14,6.6,21.21,1197,81.8,10000,5
Kia Seltos HTK Plus G,Kia,2020,Dealer,First Owner,Petrol,Manual,20.26,12.75,16.8,1497,113.4,8000,5
Hyundai Grand i10 Sportz,Hyundai,2016,Individual,First Owner,Petrol,Manual,7.48,4.75,18.9,1197,82,25000,5
Maruti Ciaz VXi Plus,Maruti,2015,Individual,First Owner,Petrol,Manual,12.72,5.3,20.73,1373,91.1,70000,5
Tata Tiago 1.2 Revotron XZ,Tata,2016,Individual,First Owner,Petrol,Manual,7.82,5.3,23.84,1199,84,9500,5
Hyundai Verna 1.6 VTVT S,Hyundai,2015,Individual,First Owner,Petrol,Manual,15.87,6.5,17.01,1591,121.3,9100,5
Honda City 1.5 S MT,Honda,2010,Dealer,First Owner,Petrol,Manual,16.17,3.35,17,1497,118,86000,5
Maruti Wagon R ZXI AMT 1.2BSIV,Maruti,2019,Trustmark Dealer,First Owner,Petrol,Automatic,6.79,5.5,21.5,1197,81.8,7883,5
Mahindra Bolero DI AC BSIII,Mahindra,2008,Individual,First Owner,Diesel,Manual,10.47,2.6,13.6,2523,63,220000,7
Mahindra Scorpio SLE BSIII,Mahindra,2012,Individual,First Owner,Diesel,Manual,19.43,5.5,12.05,2179,120,170000,8
Maruti Swift Dzire VXI 1.2 BS IV,Maruti,2018,Individual,First Owner,Petrol,Manual,9.95,6.5,22,1197,81.8,15000,5
Kia Seltos GTK,Kia,2019,Individual,First Owner,Petrol,Manual,19.2,13,16.1,1353,138,7000,5
Maruti Celerio ZXI,Maruti,2020,Individual,First Owner,Petrol,Manual,6.65,5.05,21.63,998,67.04,8700,5
Maruti Alto 800 LXI,Maruti,2019,Individual,First Owner,Petrol,Manual,4.66,3.1,24.7,796,47.3,25000,5
Hyundai i20 Asta Option BSIV,Hyundai,2015,Dealer,First Owner,Petrol,Manual,13.41,5.45,18.6,1197,81.86,42000,5
Mahindra Bolero DI,Mahindra,2006,Individual,First Owner,Diesel,Manual,10.69,1.5,13.6,2523,63,120000,7
Maruti Baleno Delta 1.2,Maruti,2018,Individual,First Owner,Petrol,Manual,10.17,5.8,21.4,1197,83.1,50000,5
Maruti Wagon R VXI BS IV,Maruti,2011,Individual,First Owner,Petrol,Manual,7.13,2.5,18.9,998,67.1,58000,5
Hyundai Verna 1.4 VTVT,Hyundai,2017,Individual,First Owner,Petrol,Manual,16.52,6.5,17.43,1396,105.5,36000,5
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,Ford,2015,Dealer,First Owner,Diesel,Manual,13.79,5.31,22.77,1498,98.59,162828,5
Maruti Wagon R CNG LXI BSIV,Maruti,2018,Dealer,First Owner,CNG,Manual,6.23,4.35,33.54,998,67.04,52000,5
Ford Figo Diesel ZXI,Ford,2012,Dealer,First Owner,Diesel,Manual,9.46,1.85,20,1399,68.05,74000,5
Mahindra Bolero 2011-2019 SLX,Mahindra,2011,Dealer,First Owner,Diesel,Manual,10.69,4.4,15.96,2523,62.1,47000,7
Hyundai i20 Sportz 1.2,Hyundai,2015,Individual,First Owner,Petrol,Manual,12.66,4.5,18.6,1197,81.83,50000,5
Maruti Baleno Zeta 1.2,Maruti,2017,Individual,First Owner,Petrol,Manual,10.63,6,21.4,1197,83.1,100000,5
Maruti Celerio VXI,Maruti,2014,Individual,First Owner,Petrol,Manual,6.48,3.2,23.1,998,67.04,35000,5
Ford Aspire 1.2 Ti-VCT Titanium,Ford,2018,Individual,First Owner,Petrol,Manual,8.45,6.3,18.16,1196,86.8,10000,5
Maruti Alto 800 VXI Airbag,Maruti,2016,Individual,First Owner,Petrol,Manual,4.65,3.2,22.74,796,47.3,10370,5
Honda City V MT,Honda,2013,Dealer,First Owner,Petrol,Manual,16.8,4.65,16.8,1497,116.3,62000,5
Maruti Swift VVT VXI,Maruti,2017,Individual,First Owner,Petrol,Manual,9.14,4.45,22,1197,81.8,60000,5
Maruti Wagon R CNG LXI BSIV,Maruti,2013,Dealer,First Owner,CNG,Manual,6.04,2.7,33.54,998,67.04,64000,5
Toyota Fortuner 4x4 MT,Toyota,2015,Individual,First Owner,Diesel,Manual,44.64,17.55,12.55,2982,168.5,80000,7
Honda City 2017-2020 VTEC,Honda,2011,Dealer,First Owner,Petrol,Manual,16.8,3.5,16.9,1497,100,55000,5
Hyundai i20 2015-2017 Sportz Option 1.2,Hyundai,2016,Dealer,First Owner,Petrol,Manual,13.41,5.75,18.6,1197,81.83,11000,5
Renault KWID 1.0 RXT Optional,Renault,2017,Individual,First Owner,Petrol,Manual,6.29,3.6,23.01,999,67,17000,5
Maruti Alto 800 VXI Optional,Maruti,2017,Individual,First Owner,Petrol,Manual,4.65,2.75,24.7,796,47.3,25000,5
Datsun GO Plus D,Datsun,2016,Individual,First Owner,Petrol,Manual,7.74,3.2,19.44,1198,67,33350,7
Hyundai Grand i10 Magna,Hyundai,2015,Dealer,First Owner,Petrol,Manual,6.57,3.7,18.9,1197,82,62000,5
Maruti Swift Dzire ZXi,Maruti,2009,Individual,First Owner,Petrol,Manual,9.95,2.75,17.5,1298,85.8,59000,5
Honda City i VTEC V,Honda,2014,Dealer,First Owner,Petrol,Manual,16.8,5.5,17.4,1497,117.3,86113,5
Maruti Wagon R VXI,Maruti,2015,Individual,First Owner,Petrol,Manual,7.13,2.72,20.51,998,67.04,92537,5
Honda City V MT AVN,Honda,2013,Individual,First Owner,Petrol,Manual,17.45,5.45,16.8,1497,116.3,70000,5
Hyundai i20 2015-2017 Magna 1.2,Hyundai,2017,Dealer,First Owner,Petrol,Manual,12.78,4.8,18.6,1197,81.83,64000,5
Mahindra Scorpio 1.99 S10,Mahindra,2017,Dealer,First Owner,Diesel,Manual,19.61,10.6,15.4,1997,120,93000,7
Maruti Alto 800 LXI,Maruti,2013,Dealer,First Owner,Petrol,Manual,4.66,2.35,22.74,796,47.3,26200,5
Maruti Baleno Zeta 1.2,Maruti,2017,Individual,First Owner,Petrol,Manual,10.35,5.9,21.4,1197,83.1,25000,5
Toyota Fortuner 2016-2021 2.8 2WD AT BSIV,Toyota,2018,Dealer,First Owner,Diesel,Automatic,46.24,29.5,12.9,2755,174.5,50000,7
Mahindra Scorpio M2DI,Mahindra,2007,Individual,First Owner,Diesel,Manual,20.09,2.8,13.5,2179,115,110000,5
Audi A4 30 TFSI Premium Plus,Audi,2016,Dealer,First Owner,Petrol,Automatic,53.76,18.51,17.84,1395,147.51,55000,5
Honda City i-VTEC S,Honda,2018,Individual,First Owner,Petrol,Manual,17.01,7.5,17.4,1497,117.3,25000,5
Hyundai Grand i10 Magna,Hyundai,2015,Dealer,First Owner,Petrol,Manual,6.57,4,18.9,1197,81.86,36000,5
Mahindra Thar CRDe,Mahindra,2018,Individual,First Owner,Diesel,Manual,16.2,8.7,16.55,2498,105,25000,6
Renault KWID RXL,Renault,2018,Dealer,First Owner,Petrol,Manual,5.78,2.95,25.17,799,53.3,30038,5
Maruti Swift VXI,Maruti,2018,Individual,First Owner,Petrol,Manual,9.3,5.3,21.21,1197,81.8,5000,5
Renault KWID Climber 1.0 AMT,Renault,2017,Individual,First Owner,Petrol,Automatic,6.09,3.5,24.04,999,67,35000,5
Ford Ecosport 1.5 DV5 MT Titanium,Ford,2013,Dealer,First Owner,Diesel,Manual,13.48,4.7,22.7,1498,89.84,62000,5
Ford Aspire 1.5 TDCi Trend,Ford,2015,Individual,First Owner,Diesel,Manual,10.01,3.9,25.83,1498,99,42000,5
Mahindra Scorpio S10 7 Seater,Mahindra,2015,Individual,First Owner,Diesel,Manual,19.92,9.2,15.4,2179,120,80000,7
Mahindra XUV500 W8 2WD,Mahindra,2013,Individual,First Owner,Diesel,Manual,23.28,5.5,15.1,2179,140,60000,7
Hyundai Verna 1.6 SX,Hyundai,2014,Individual,First Owner,Diesel,Manual,18.29,6.35,22.32,1582,126.32,45000,5
Mahindra XUV500 AT W8 FWD,Mahindra,2017,Dealer,First Owner,Diesel,Automatic,23.28,12.5,16,2179,140,50000,7
Maruti Alto 800 VXI,Maruti,2018,Individual,First Owner,Petrol,Manual,4.65,3,24.7,796,47.3,12000,5
Honda City i-VTEC CVT V,Honda,2018,Individual,First Owner,Petrol,Automatic,17.01,9.6,18,1497,117.6,12000,5
Volkswagen Polo Petrol Trendline 1.2L,Volkswagen,2011,Dealer,First Owner,Petrol,Manual,11.19,2.49,16.47,1198,73.9,63000,5
Tata Hexa XT,Tata,2018,Individual,First Owner,Diesel,Manual,14.1,14,17.6,2179,153.86,30000,7
Ford Figo Diesel ZXI,Ford,2011,Individual,First Owner,Diesel,Manual,9.53,2.5,20,1399,68,160800,5
Hyundai Verna 1.6 SX,Hyundai,2014,Individual,First Owner,Diesel,Manual,18.09,6.1,22.32,1582,126.32,120000,5
Ford Ecosport 2015-2021 1.5 Diesel Ambiente,Ford,2016,Dealer,First Owner,Diesel,Manual,13.79,5.45,21.7,1498,98.96,78247,5
Hyundai Verna 1.6 CRDi EX MT,Hyundai,2013,Individual,First Owner,Diesel,Manual,15.88,4.8,22.32,1582,126.3,113000,5
Hyundai i20 2015-2017 Asta Option 1.2,Hyundai,2014,Dealer,First Owner,Petrol,Manual,13.41,3.95,18.6,1197,81.83,52000,5
Hyundai Grand i10 Asta Option,Hyundai,2017,Individual,First Owner,Petrol,Manual,7.16,4.7,18.9,1197,82,90000,5
Maruti Wagon R VXI,Maruti,2014,Individual,First Owner,Petrol,Manual,7.12,3.4,20.51,998,67.04,21717,5
Honda City i-VTEC ZX,Honda,2017,Individual,First Owner,Petrol,Manual,17.45,10.5,17.14,1497,117.6,50000,5
Maruti Swift VXI Optional,Maruti,2017,Dealer,First Owner,Petrol,Manual,9.27,4.91,20.4,1197,81.8,27876,5
Land Rover Discovery Sport Si4 HSE,Land Rover,2016,Dealer,First Owner,Petrol,Automatic,74.15,28.9,12.63,1999,177,56000,5
Hyundai Venue SX Turbo BSIV,Hyundai,2019,Dealer,First Owner,Petrol,Manual,13.75,9.85,18.27,998,118.35,5400,5
Tata Tiago 1.2 Revotron XT,Tata,2017,Individual,First Owner,Petrol,Manual,7.89,3.35,23.84,1199,84,24800,5
Honda Jazz VX CVT,Honda,2018,Dealer,First Owner,Petrol,Automatic,10.96,7.4,17.1,1199,88.51,20000,5
Maruti Swift VXI,Maruti,2013,Dealer,First Owner,Petrol,Manual,8.98,3.75,22,1197,81.8,34553,5
Mahindra Scorpio 1.99 S4,Mahindra,2017,Individual,First Owner,Diesel,Manual,19.92,8.5,15.4,1997,120,120000,7
Hyundai i20 Era 1.4 CRDi,Hyundai,2013,Individual,First Owner,Diesel,Manual,12.74,2.85,22.54,1396,88.76,90000,5
Hyundai Creta 1.6 CRDi SX,Hyundai,2017,Individual,First Owner,Diesel,Manual,20.8,11,19.67,1582,126.2,80000,5
Mahindra Scorpio 1.99 S6 Plus,Mahindra,2017,Individual,First Owner,Diesel,Manual,19.2,10.8,15.4,1997,120,30000,7
Honda City i DTEC V,Honda,2014,Dealer,First Owner,Diesel,Manual,16.49,5.3,26,1498,98.6,66100,5
Mahindra Scorpio 1.99 S4 Plus,Mahindra,2017,Dealer,First Owner,Diesel,Manual,19.92,10.25,15.4,1997,120,42000,7
Hyundai i20 1.2 Spotz,Hyundai,2017,Individual,First Owner,Petrol,Manual,13.46,6.5,18.6,1197,81.83,55000,5
Maruti Baleno Delta Automatic,Maruti,2019,Individual,First Owner,Petrol,Automatic,10.54,6.86,21.4,1197,83.1,5000,5
Maruti Alto 800 LXI,Maruti,2016,Individual,First Owner,Petrol,Manual,4.49,2,22.74,796,47.3,50000,5
Maruti Swift Dzire VXI,Maruti,2010,Dealer,First Owner,Petrol,Manual,9.95,2.5,19.1,1197,85.8,44000,5
Hyundai Verna 1.6 VTVT SX,Hyundai,2016,Dealer,First Owner,Petrol,Manual,16.52,6.5,17.01,1591,121.3,55000,5
Maruti Baleno Zeta 1.2,Maruti,2017,Individual,First Owner,Petrol,Manual,10.63,6.2,21.4,1197,83.1,30000,5
Hyundai Verna 1.6 VTVT,Hyundai,2013,Individual,First Owner,Petrol,Manual,14.63,5.1,17.01,1591,121.3,50000,5
Maruti Eeco 5 Seater AC BSIV,Maruti,2013,Individual,First Owner,Petrol,Manual,5.09,3.75,15.37,1196,73,20000,5
Maruti Swift Dzire AMT VXI,Maruti,2017,Trustmark Dealer,First Owner,Petrol,Automatic,10.04,6.2,21.21,1197,81.8,19843,5
Ford Endeavour 3.0L 4X4 AT,Ford,2011,Individual,First Owner,Diesel,Automatic,41.93,9.5,11.4,2953,153.86,30000,7
Toyota Innova Crysta 2016-2020 2.4 G MT,Toyota,2017,Dealer,First Owner,Diesel,Manual,29.9,14.5,13.68,2393,147.51,52300,7
Honda City i VTEC CVT SV,Honda,2016,Individual,First Owner,Petrol,Automatic,16.17,8.45,18,1497,117.3,40000,5
Honda Amaze S i-Vtech,Honda,2015,Dealer,First Owner,Petrol,Manual,9.9,3.95,18,1198,86.7,59000,5
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,Hyundai,2018,Individual,First Owner,Petrol,Manual,7.35,4.5,18.9,1197,81.86,40000,5
Hyundai Grand i10 Magna,Hyundai,2013,Dealer,First Owner,Petrol,Manual,6.57,3.25,18.9,1197,82,61000,5
Mahindra XUV500 W8 2WD,Mahindra,2013,Dealer,First Owner,Diesel,Manual,23.28,6.5,15.1,2179,140,63000,7
Mercedes-Benz E-Class E 200 CGI,Mercedes-Benz,2012,Dealer,First Owner,Petrol,Manual,172,12.5,12.3,1796,185,58000,5
Land Rover Range Rover Evoque Convertible HSE Dynamic,Land Rover,2018,Dealer,First Owner,Petrol,Automatic,72.54,70,12.19,1997,237.36,13000,4
Mini Cooper 3 DOOR S,Mini Cooper,2012,Dealer,First Owner,Petrol,Automatic,54.03,13.25,17.33,1998,189.08,67000,4
Ford Figo Diesel EXI,Ford,2012,Dealer,First Owner,Diesel,Manual,9.29,1.69,20,1399,68.05,68000,5
Audi Q7 2006-2020 3.0 TDI Quattro Premium Plus,Audi,2012,Dealer,First Owner,Diesel,Automatic,80.6,20,12.07,2967,241.4,98000,7
Maruti Wagon R AMT VXI,Maruti,2018,Individual,First Owner,Petrol,Automatic,6.94,4,20.51,998,67,80000,5
Hyundai Santro Sportz SE AMT BSIV,Hyundai,2020,Dealer,First Owner,Petrol,Automatic,7.4,5.65,20.3,1086,68,1000,5
